ts,open,high,low,close,volume,volCcyQuote
2026-05-16 10:00:00+00:00,9.232,9.258,9.184,9.238,148079.7,1364953.773
2026-05-16 11:00:00+00:00,9.237,9.28,9.237,9.245,64685.2,599082.4972
2026-05-16 12:00:00+00:00,9.245,9.284,9.235,9.27,49019.1,454011.2388
2026-05-16 13:00:00+00:00,9.271,9.301,9.256,9.263,79080.1,733939.4473
2026-05-16 14:00:00+00:00,9.263,9.338,9.246,9.289,128207.8,1191121.0294
2026-05-16 15:00:00+00:00,9.289,9.325,9.284,9.312,93068.2,865814.2351
2026-05-16 16:00:00+00:00,9.313,9.355,9.3,9.331,79231.6,739069.4772
2026-05-16 17:00:00+00:00,9.332,9.367,9.329,9.351,62907.9,588196.9466
2026-05-16 18:00:00+00:00,9.35,9.357,9.324,9.331,67577.8,631282.6973
2026-05-16 19:00:00+00:00,9.331,9.331,9.306,9.307,45856.3,427275.7096
2026-05-16 20:00:00+00:00,9.308,9.329,9.292,9.3,30672.1,285612.0043
2026-05-16 21:00:00+00:00,9.299,9.323,9.297,9.31,44562.5,414890.3754
2026-05-16 22:00:00+00:00,9.311,9.315,9.284,9.288,27059.1,251594.5736
2026-05-16 23:00:00+00:00,9.287,9.3,9.281,9.284,28430.2,264122.9206
2026-05-17 00:00:00+00:00,9.284,9.3,9.216,9.232,90882.6,841795.1926
2026-05-17 01:00:00+00:00,9.233,9.264,9.171,9.197,113484.9,1046052.1903
2026-05-17 02:00:00+00:00,9.197,9.232,9.197,9.219,62492.0,576032.9274
2026-05-17 03:00:00+00:00,9.218,9.284,9.218,9.268,58521.0,541720.4028
2026-05-17 04:00:00+00:00,9.267,9.324,9.263,9.302,81312.1,756202.6998
2026-05-17 05:00:00+00:00,9.302,9.353,9.301,9.319,93865.7,875373.3766
2026-05-17 06:00:00+00:00,9.319,9.344,9.308,9.343,74577.7,695452.1798
2026-05-17 07:00:00+00:00,9.343,9.353,9.293,9.314,241380.7,2250455.7161
2026-05-17 08:00:00+00:00,9.314,9.319,9.288,9.298,40928.1,380759.0833
2026-05-17 09:00:00+00:00,9.298,9.374,9.292,9.355,114554.1,1069237.5284
2026-05-17 10:00:00+00:00,9.355,9.413,9.355,9.368,144947.1,1360441.1309
2026-05-17 11:00:00+00:00,9.368,9.369,9.334,9.354,61110.2,571494.4405
2026-05-17 12:00:00+00:00,9.354,9.383,9.342,9.348,54881.5,514062.4732
2026-05-17 13:00:00+00:00,9.348,9.349,9.295,9.326,96716.8,901881.1992
2026-05-17 14:00:00+00:00,9.327,9.329,9.251,9.289,112926.9,1048550.3193
2026-05-17 15:00:00+00:00,9.29,9.301,9.265,9.288,59190.5,549813.9782
2026-05-17 16:00:00+00:00,9.288,9.309,9.256,9.266,78166.7,725826.6629
2026-05-17 17:00:00+00:00,9.266,9.269,9.226,9.258,91868.0,849729.8822
2026-05-17 18:00:00+00:00,9.259,9.283,9.222,9.277,68830.7,637339.4163
2026-05-17 19:00:00+00:00,9.278,9.323,9.274,9.305,57017.2,530108.1721
2026-05-17 20:00:00+00:00,9.305,9.313,9.277,9.296,53263.4,495031.7198
2026-05-17 21:00:00+00:00,9.295,9.338,9.281,9.317,75313.4,701294.3622
2026-05-17 22:00:00+00:00,9.316,9.318,9.208,9.235,83128.0,769070.9378
2026-05-17 23:00:00+00:00,9.235,9.237,8.93,9.19,1103386.3,10002234.2325
2026-05-18 00:00:00+00:00,9.19,9.193,9.103,9.186,245582.4,2246597.3296
2026-05-18 01:00:00+00:00,9.186,9.201,9.106,9.155,132721.7,1214194.3866
2026-05-18 02:00:00+00:00,9.155,9.233,9.147,9.193,129097.8,1187888.9759
2026-05-18 03:00:00+00:00,9.194,9.22,9.16,9.186,71801.2,660120.1145
