ts,open,high,low,close,volume,volCcyQuote
2026-05-16 10:00:00+00:00,9.677,9.683,9.61,9.651,276870.6,2670980.2532
2026-05-16 11:00:00+00:00,9.651,9.682,9.644,9.646,119646.5,1156290.873
2026-05-16 12:00:00+00:00,9.646,9.67,9.63,9.649,126203.4,1217766.5146
2026-05-16 13:00:00+00:00,9.649,9.65,9.619,9.638,112026.6,1079097.0405
2026-05-16 14:00:00+00:00,9.639,9.704,9.624,9.659,128905.3,1245150.4034
2026-05-16 15:00:00+00:00,9.658,9.71,9.65,9.703,157553.8,1525227.9428
2026-05-16 16:00:00+00:00,9.703,9.75,9.694,9.745,132080.8,1284862.0319
2026-05-16 17:00:00+00:00,9.746,9.774,9.744,9.761,88623.3,865102.7931
2026-05-16 18:00:00+00:00,9.76,9.768,9.729,9.744,98111.7,956263.4948
2026-05-16 19:00:00+00:00,9.743,9.756,9.736,9.742,50766.6,494798.0317
2026-05-16 20:00:00+00:00,9.742,9.769,9.732,9.735,76923.6,749822.3009
2026-05-16 21:00:00+00:00,9.734,9.759,9.732,9.753,91516.7,891784.0801
2026-05-16 22:00:00+00:00,9.752,9.756,9.706,9.713,67928.0,660660.307
2026-05-16 23:00:00+00:00,9.713,9.728,9.702,9.712,56069.3,544867.623
2026-05-17 00:00:00+00:00,9.711,9.729,9.654,9.672,74639.1,724057.6841
2026-05-17 01:00:00+00:00,9.673,9.701,9.625,9.626,96231.4,929167.9735
2026-05-17 02:00:00+00:00,9.625,9.666,9.625,9.641,93977.6,906395.6786
2026-05-17 03:00:00+00:00,9.64,9.725,9.64,9.717,115848.4,1122148.1753
2026-05-17 04:00:00+00:00,9.716,9.78,9.712,9.762,147145.9,1435630.5613
2026-05-17 05:00:00+00:00,9.762,9.82,9.759,9.764,176475.7,1726909.0344
2026-05-17 06:00:00+00:00,9.764,9.78,9.738,9.768,93420.9,911782.0251
2026-05-17 07:00:00+00:00,9.768,9.801,9.751,9.772,87759.5,858007.9626
2026-05-17 08:00:00+00:00,9.773,9.778,9.746,9.753,43434.8,423883.2524
2026-05-17 09:00:00+00:00,9.753,9.793,9.744,9.784,87153.2,850946.9615
2026-05-17 10:00:00+00:00,9.785,9.849,9.785,9.806,170356.7,1672754.8525
2026-05-17 11:00:00+00:00,9.807,9.807,9.765,9.788,69560.2,680746.4726
2026-05-17 12:00:00+00:00,9.789,9.837,9.742,9.754,299387.7,2930737.0093
2026-05-17 13:00:00+00:00,9.755,9.818,9.723,9.8,581085.4,5681090.9881
2026-05-17 14:00:00+00:00,9.799,9.802,9.649,9.717,725578.3,7050749.3998
2026-05-17 15:00:00+00:00,9.718,9.732,9.677,9.711,88765.8,861396.0904
