ts,open,high,low,close,volume,volCcyQuote
2025-12-17 10:00:00+00:00,86374.8,86789.0,86186.0,86579.0,213763.39,185056999.52615
2025-12-17 11:00:00+00:00,86579.0,87098.2,86519.2,86932.9,191252.61,166094054.63577
2025-12-17 12:00:00+00:00,86932.9,87177.0,86766.2,86980.3,261250.02,227284560.09773
2025-12-17 13:00:00+00:00,86980.2,87836.3,86775.0,87583.5,465623.74,406591334.02737
2025-12-17 14:00:00+00:00,87583.6,89670.6,87130.0,89642.0,1595264.71,1410703911.61801
2025-12-17 15:00:00+00:00,89641.9,90350.0,87101.0,87192.8,2315318.82,2062696261.08913
2025-12-17 16:00:00+00:00,87192.9,87776.3,86111.2,86947.4,1352016.76,1173377214.76006
2025-12-17 17:00:00+00:00,86947.4,87062.5,86220.0,86375.2,388350.77,336515795.57018
2025-12-17 18:00:00+00:00,86375.3,86802.4,85610.0,85790.5,424487.66,365564068.55006
2025-12-17 19:00:00+00:00,85790.6,86139.6,85282.1,85976.7,441938.16,378509361.05288
2025-12-17 20:00:00+00:00,85976.7,86219.3,85616.6,85843.2,302338.91,259864842.13812
2025-12-17 21:00:00+00:00,85843.3,86008.1,85655.8,85941.4,118490.62,101727297.75791
2025-12-17 22:00:00+00:00,85941.6,86398.7,85840.0,86300.0,143596.47,123689709.56208
2025-12-17 23:00:00+00:00,86299.9,86307.4,85911.7,86201.5,138417.01,119114577.82762
2025-12-18 00:00:00+00:00,86201.6,86281.2,86013.9,86193.1,119711.88,103155094.82903
2025-12-18 01:00:00+00:00,86193.1,86213.7,85816.6,86083.0,162879.16,140060467.82551
2025-12-18 02:00:00+00:00,86083.0,86836.9,85968.0,86643.1,294897.23,255094827.53126
2025-12-18 03:00:00+00:00,86643.1,86649.6,86203.3,86578.0,236443.28,204336341.17499
2025-12-18 04:00:00+00:00,86578.0,86860.3,86560.0,86710.0,206905.65,179505940.22644
2025-12-18 05:00:00+00:00,86710.0,86724.0,86335.9,86400.0,131664.76,113938223.22954
2025-12-18 06:00:00+00:00,86400.1,86623.9,86359.9,86607.9,99169.91,85739400.9442
2025-12-18 07:00:00+00:00,86607.9,86827.9,86542.4,86790.6,140672.28,122014159.53033
2025-12-18 08:00:00+00:00,86790.6,87100.0,86637.3,86926.4,268694.71,233513552.85029
2025-12-18 09:00:00+00:00,86926.4,87367.4,86750.4,87236.8,247151.74,215289537.95945
2025-12-18 10:00:00+00:00,87236.8,87417.9,87159.8,87307.2,148303.58,129459075.20337
2025-12-18 11:00:00+00:00,87307.3,87323.1,87020.7,87237.1,151957.0,132456538.02875
2025-12-18 12:00:00+00:00,87237.1,87400.0,87081.5,87224.7,184237.7,160735830.094
2025-12-18 13:00:00+00:00,87224.6,89171.2,87224.6,88800.0,1357444.03,1198098611.48902
2025-12-18 14:00:00+00:00,88800.1,89468.8,87659.8,88299.9,1444322.66,1277283174.721
2025-12-18 15:00:00+00:00,88300.0,89340.9,87919.7,88479.7,961529.35,852600498.15694
2025-12-18 16:00:00+00:00,88479.6,88500.0,87800.0,87979.9,469819.16,414212346.38209
2025-12-18 17:00:00+00:00,87980.0,88000.2,85420.5,86438.6,1829789.42,1579655498.83474
2025-12-18 18:00:00+00:00,86438.6,86843.6,85671.9,85944.7,549949.51,474711745.47637
2025-12-18 19:00:00+00:00,85944.6,85987.6,84407.7,84433.1,1072355.5,912914661.01365
2025-12-18 20:00:00+00:00,84433.0,85230.3,84401.9,84533.5,467093.81,396694828.30264
2025-12-18 21:00:00+00:00,84533.5,85818.0,84511.6,85577.5,537119.46,458215533.1109
2025-12-18 22:00:00+00:00,85577.5,85701.4,85230.0,85533.5,183749.91,157119368.04676
2025-12-18 23:00:00+00:00,85533.4,85578.8,85260.2,85458.2,156205.41,133439172.14041
2025-12-19 00:00:00+00:00,85458.3,85567.8,85247.1,85567.7,167166.91,142777717.62809
2025-12-19 01:00:00+00:00,85567.7,85567.7,85047.9,85281.8,186953.42,159455217.06471
2025-12-19 02:00:00+00:00,85281.5,85899.0,85088.0,85599.9,266966.68,228287258.5777
2025-12-19 03:00:00+00:00,85600.0,87535.7,85568.0,86855.9,1118131.84,969784905.2584
